Population,Generation,Low,Medium
16, 0, 224, 28
16, 1, 90, 2
16, 2, 84, 0
16, 3, 84, 2
16, 4, 92, 0
16, 5, 86, 0
16, 6, 84, 0
16, 7, 81, 0
16, 8, 79, 0
16, 9, 87, 2
16, 10, 86, 0
16, 11, 89, 2
16, 12, 86, 2
16, 13, 81, 2
16, 14, 86, 2
16, 15, 81, 2
16, 16, 81, 0
16, 17, 81, 0
16, 18, 84, 2
16, 19, 79, 0
16, 20, 84, 0
16, 21, 81, 0
16, 22, 90, 4
16, 23, 84, 0
16, 24, 83, 2
16, 25, 81, 0
16, 26, 84, 0
16, 27, 81, 0
16, 28, 87, 0
16, 29, 88, 4
16, 30, 79, 0
16, 31, 84, 2
16, 0, 242, 22
16, 1, 92, 2
16, 2, 84, 2
16, 3, 81, 0
16, 4, 86, 2
16, 5, 91, 2
16, 6, 84, 0
16, 7, 92, 2
16, 8, 81, 2
16, 9, 81, 0
16, 10, 79, 0
16, 11, 84, 2
16, 12, 84, 2
16, 13, 79, 0
16, 14, 79, 0
16, 15, 88, 2
16, 16, 84, 0
16, 17, 87, 2
16, 18, 81, 2
16, 19, 84, 0
16, 20, 82, 0
16, 21, 88, 0
16, 22, 89, 0
16, 23, 85, 0
16, 24, 84, 0
16, 25, 81, 0
16, 26, 83, 2
16, 27, 79, 0
16, 28, 81, 0
16, 29, 92, 2
16, 30, 88, 0
16, 31, 82, 0
16, 0, 236, 24
16, 1, 88, 2
16, 2, 79, 0
16, 3, 89, 0
16, 4, 90, 2
16, 5, 88, 0
16, 6, 82, 0
16, 7, 84, 0
16, 8, 82, 0
16, 9, 85, 0
16, 10, 88, 4
16, 11, 88, 0
16, 12, 79, 0
16, 13, 91, 6
16, 14, 84, 0
16, 15, 87, 2
16, 16, 83, 0
16, 17, 88, 2
16, 18, 92, 4
16, 19, 90, 2
16, 20, 81, 0
16, 21, 84, 2
16, 22, 82, 0
16, 23, 87, 0
16, 24, 81, 2
16, 25, 84, 0
16, 26, 84, 0
16, 27, 79, 0
16, 28, 85, 0
16, 29, 83, 0
16, 30, 84, 0
16, 31, 84, 2
16, 0, 236, 6
16, 1, 82, 0
16, 2, 79, 0
16, 3, 86, 4
16, 4, 92, 2
16, 5, 81, 0
16, 6, 81, 2
16, 7, 90, 2
16, 8, 88, 0
16, 9, 84, 0
16, 10, 87, 2
16, 11, 87, 2
16, 12, 81, 0
16, 13, 86, 2
16, 14, 79, 0
16, 15, 90, 2
16, 16, 85, 0
16, 17, 90, 2
16, 18, 82, 0
16, 19, 86, 2
16, 20, 89, 2
16, 21, 89, 2
16, 22, 84, 0
16, 23, 81, 0
16, 24, 81, 0
16, 25, 82, 0
16, 26, 82, 0
16, 27, 81, 2
16, 28, 85, 4
16, 29, 85, 0
16, 30, 79, 0
16, 31, 86, 4
32, 0, 712, 36
32, 1, 284, 2
32, 2, 271, 4
32, 3, 267, 2
32, 4, 267, 0
32, 5, 272, 0
32, 6, 268, 4
32, 7, 263, 4
32, 8, 263, 2
32, 9, 263, 2
32, 10, 263, 2
32, 11, 272, 2
32, 12, 274, 4
32, 13, 265, 2
32, 14, 271, 0
32, 15, 260, 2
32, 16, 273, 6
32, 17, 269, 4
32, 18, 262, 4
32, 19, 261, 0
32, 20, 262, 2
32, 21, 268, 4
32, 22, 262, 0
32, 23, 270, 2
32, 24, 265, 2
32, 25, 271, 2
32, 26, 264, 2
32, 27, 263, 0
32, 28, 263, 0
32, 29, 272, 8
32, 30, 267, 0
32, 31, 273, 2
32, 0, 731, 38
32, 1, 280, 0
32, 2, 255, 0
32, 3, 269, 6
32, 4, 259, 4
32, 5, 266, 0
32, 6, 257, 2
32, 7, 257, 2
32, 8, 261, 4
32, 9, 268, 2
32, 10, 265, 4
32, 11, 260, 2
32, 12, 261, 4
32, 13, 258, 0
32, 14, 263, 2
32, 15, 266, 2
32, 16, 265, 2
32, 17, 266, 0
32, 18, 267, 4
32, 19, 273, 2
32, 20, 271, 2
32, 21, 266, 2
32, 22, 262, 2
32, 23, 263, 6
32, 24, 264, 0
32, 25, 270, 6
32, 26, 263, 2
32, 27, 255, 0
32, 28, 261, 0
32, 29, 260, 2
32, 30, 275, 0
32, 31, 265, 2
16, 0, 227, 12
16, 1, 96, 0
16, 2, 86, 2
16, 3, 81, 2
16, 4, 83, 4
16, 5, 84, 0
16, 6, 84, 2
16, 7, 91, 0
16, 8, 82, 0
16, 9, 90, 4
16, 10, 84, 0
16, 11, 79, 0
16, 12, 84, 2
16, 13, 79, 0
16, 14, 85, 0
16, 15, 87, 0
16, 16, 81, 0
16, 17, 92, 2
16, 18, 82, 0
16, 19, 82, 0
16, 20, 79, 0
16, 21, 82, 0
16, 22, 82, 0
16, 23, 84, 2
16, 24, 84, 0
16, 25, 83, 2
16, 26, 81, 2
16, 27, 83, 4
16, 28, 86, 4
16, 29, 84, 0
16, 30, 84, 0
16, 31, 96, 0
16, 0, 223, 12
16, 1, 86, 0
16, 2, 84, 0
16, 3, 87, 2
16, 4, 81, 0
16, 5, 84, 0
16, 6, 81, 0
16, 7, 85, 0
16, 8, 87, 0
16, 9, 83, 2
16, 10, 84, 0
16, 11, 84, 0
16, 12, 82, 0
16, 13, 79, 0
16, 14, 84, 0
16, 15, 84, 0
16, 16, 87, 2
16, 17, 85, 0
16, 18, 81, 0
16, 19, 82, 0
16, 20, 84, 0
16, 21, 84, 2
16, 22, 81, 2
16, 23, 85, 4
16, 24, 82, 0
16, 25, 84, 2
16, 26, 82, 0
16, 27, 81, 2
16, 28, 88, 4
16, 29, 84, 2
16, 30, 82, 0
16, 31, 86, 2
32, 0, 685, 50
32, 1, 278, 0
32, 2, 261, 4
32, 3, 265, 2
32, 4, 270, 0
32, 5, 274, 2
32, 6, 260, 0
32, 7, 263, 4
32, 8, 271, 2
32, 9, 268, 2
32, 10, 272, 6
32, 11, 266, 6
32, 12, 261, 4
32, 13, 270, 8
32, 14, 258, 0
32, 15, 259, 4
32, 16, 262, 0
32, 17, 266, 4
32, 18, 265, 4
32, 19, 264, 4
32, 20, 257, 0
32, 21, 263, 0
32, 22, 266, 6
32, 23, 257, 0
32, 24, 264, 4
32, 25, 270, 0
32, 26, 260, 2
32, 27, 269, 2
32, 28, 266, 0
32, 29, 268, 0
32, 30, 262, 0
32, 31, 267, 4
16, 0, 229, 16
16, 1, 96, 2
16, 2, 85, 0
16, 3, 79, 0
16, 4, 85, 0
16, 5, 83, 2
16, 6, 82, 0
16, 7, 89, 2
16, 8, 82, 0
16, 9, 83, 0
16, 10, 84, 2
16, 11, 85, 6
16, 12, 88, 0
16, 13, 84, 2
16, 14, 83, 2
16, 15, 86, 2
16, 16, 79, 0
16, 17, 89, 4
16, 18, 83, 2
16, 19, 82, 0
16, 20, 82, 0
16, 21, 82, 0
16, 22, 81, 0
16, 23, 82, 0
16, 24, 89, 0
16, 25, 87, 2
16, 26, 90, 4
16, 27, 86, 2
16, 28, 79, 0
16, 29, 84, 0
16, 30, 85, 0
16, 31, 83, 4
32, 0, 660, 44
32, 1, 267, 0
32, 2, 266, 0
32, 3, 269, 2
32, 4, 267, 4
32, 5, 262, 4
32, 6, 266, 6
32, 7, 259, 0
32, 8, 264, 0
32, 9, 268, 6
32, 10, 270, 4
32, 11, 273, 2
32, 12, 272, 0
32, 13, 266, 4
32, 14, 271, 0
32, 15, 265, 2
32, 16, 266, 0
32, 17, 274, 2
32, 18, 271, 4
32, 19, 272, 4
32, 20, 273, 0
32, 21, 260, 2
32, 22, 264, 4
32, 23, 266, 2
32, 24, 272, 6
32, 25, 270, 2
32, 26, 264, 4
32, 27, 273, 2
32, 28, 266, 2
32, 29, 259, 0
32, 30, 262, 0
32, 31, 268, 0
32, 0, 668, 46
32, 1, 263, 0
32, 2, 268, 2
32, 3, 266, 4
32, 4, 268, 0
32, 5, 265, 2
32, 6, 266, 6
32, 7, 263, 2
32, 8, 259, 2
32, 9, 259, 2
32, 10, 265, 0
32, 11, 266, 6
32, 12, 263, 2
32, 13, 262, 0
32, 14, 262, 0
32, 15, 268, 4
32, 16, 264, 4
32, 17, 271, 2
32, 18, 267, 4
32, 19, 269, 2
32, 20, 268, 2
32, 21, 260, 0
32, 22, 257, 2
32, 23, 258, 0
32, 24, 265, 4
32, 25, 274, 0
32, 26, 263, 2
32, 27, 272, 2
32, 28, 273, 2
32, 29, 265, 4
32, 30, 267, 4
32, 31, 260, 0
32, 0, 633, 34
32, 1, 273, 0
32, 2, 275, 2
32, 3, 255, 0
32, 4, 265, 2
32, 5, 264, 0
32, 6, 269, 2
32, 7, 264, 6
32, 8, 265, 2
32, 9, 273, 8
32, 10, 267, 0
32, 11, 260, 0
32, 12, 261, 4
32, 13, 267, 6
32, 14, 271, 0
32, 15, 261, 4
32, 16, 264, 4
32, 17, 255, 0
32, 18, 274, 6
32, 19, 262, 2
32, 20, 258, 0
32, 21, 265, 2
32, 22, 263, 0
32, 23, 263, 2
32, 24, 259, 0
32, 25, 273, 6
32, 26, 263, 0
32, 27, 274, 4
32, 28, 267, 8
32, 29, 264, 4
32, 30, 261, 0
32, 31, 257, 0
32, 0, 671, 32
32, 1, 272, 0
32, 2, 267, 4
32, 3, 267, 0
32, 4, 271, 2
32, 5, 266, 4
32, 6, 273, 2
32, 7, 260, 0
32, 8, 258, 0
32, 9, 262, 4
32, 10, 269, 0
32, 11, 264, 0
32, 12, 270, 4
32, 13, 260, 2
32, 14, 264, 0
32, 15, 258, 0
32, 16, 255, 0
32, 17, 282, 0
32, 18, 264, 4
32, 19, 265, 2
32, 20, 269, 0
32, 21, 263, 0
32, 22, 263, 0
32, 23, 270, 2
32, 24, 258, 0
32, 25, 269, 2
32, 26, 263, 2
32, 27, 273, 8
32, 28, 272, 0
32, 29, 263, 2
32, 30, 264, 0
32, 31, 259, 4
32, 0, 687, 20
32, 1, 283, 0
32, 2, 269, 0
32, 3, 272, 4
32, 4, 271, 6
32, 5, 262, 2
32, 6, 276, 12
32, 7, 265, 4
32, 8, 260, 0
32, 9, 267, 0
32, 10, 263, 6
32, 11, 262, 0
32, 12, 264, 0
32, 13, 268, 4
32, 14, 269, 8
32, 15, 272, 4
32, 16, 269, 4
32, 17, 274, 4
32, 18, 266, 2
32, 19, 271, 2
32, 20, 263, 0
32, 21, 269, 2
32, 22, 264, 0
32, 23, 269, 6
32, 24, 265, 2
32, 25, 261, 4
32, 26, 274, 2
32, 27, 268, 2
32, 28, 268, 2
32, 29, 265, 0
32, 30, 261, 4
32, 31, 280, 4
32, 0, 635, 32
32, 1, 268, 4
32, 2, 262, 2
32, 3, 264, 0
32, 4, 268, 4
32, 5, 272, 2
32, 6, 279, 6
32, 7, 272, 8
32, 8, 265, 4
32, 9, 270, 0
32, 10, 262, 4
32, 11, 263, 0
32, 12, 274, 0
32, 13, 265, 0
32, 14, 274, 8
32, 15, 270, 0
32, 16, 264, 4
32, 17, 258, 0
32, 18, 259, 2
32, 19, 264, 2
32, 20, 265, 2
32, 21, 269, 2
32, 22, 262, 4
32, 23, 260, 0
32, 24, 257, 2
32, 25, 268, 4
32, 26, 273, 2
32, 27, 264, 4
32, 28, 266, 2
32, 29, 265, 0
32, 30, 265, 2
32, 31, 260, 0
16, 0, 217, 12
16, 1, 89, 2
16, 2, 85, 2
16, 3, 83, 2
16, 4, 84, 2
16, 5, 95, 2
16, 6, 82, 0
16, 7, 79, 0
16, 8, 89, 4
16, 9, 84, 2
16, 10, 82, 0
16, 11, 90, 2
16, 12, 81, 0
16, 13, 79, 0
16, 14, 88, 4
16, 15, 88, 4
16, 16, 87, 0
16, 17, 85, 0
16, 18, 79, 0
16, 19, 91, 4
16, 20, 83, 0
16, 21, 84, 2
16, 22, 82, 0
16, 23, 85, 2
16, 24, 92, 4
16, 25, 91, 2
16, 26, 79, 0
16, 27, 88, 0
16, 28, 81, 0
16, 29, 84, 0
16, 30, 88, 4
16, 31, 81, 0
16, 0, 246, 12
16, 1, 94, 0
16, 2, 82, 0
16, 3, 84, 0
16, 4, 88, 0
16, 5, 87, 0
16, 6, 81, 0
16, 7, 81, 2
16, 8, 91, 6
16, 9, 82, 0
16, 10, 79, 0
16, 11, 81, 2
16, 12, 89, 0
16, 13, 89, 2
16, 14, 82, 0
16, 15, 84, 0
16, 16, 86, 4
16, 17, 86, 2
16, 18, 84, 0
16, 19, 79, 0
16, 20, 84, 0
16, 21, 82, 0
16, 22, 81, 2
16, 23, 92, 2
16, 24, 87, 0
16, 25, 87, 2
16, 26, 81, 2
16, 27, 82, 0
16, 28, 79, 0
16, 29, 82, 0
16, 30, 88, 2
16, 31, 79, 0
32, 0, 667, 38
32, 1, 295, 4
32, 2, 267, 4
32, 3, 265, 2
32, 4, 268, 0
32, 5, 261, 0
32, 6, 273, 4
32, 7, 272, 2
32, 8, 265, 0
32, 9, 263, 0
32, 10, 268, 0
32, 11, 265, 4
32, 12, 265, 2
32, 13, 261, 6
32, 14, 267, 0
32, 15, 265, 2
32, 16, 270, 6
32, 17, 274, 0
32, 18, 261, 4
32, 19, 265, 2
32, 20, 268, 4
32, 21, 282, 6
32, 22, 269, 0
32, 23, 263, 2
32, 24, 263, 0
32, 25, 268, 0
32, 26, 273, 6
32, 27, 267, 4
32, 28, 261, 0
32, 29, 261, 0
32, 30, 263, 0
32, 31, 270, 0
16, 0, 222, 20
16, 1, 88, 4
16, 2, 84, 0
16, 3, 81, 0
16, 4, 79, 0
16, 5, 82, 0
16, 6, 84, 2
16, 7, 82, 0
16, 8, 79, 0
16, 9, 88, 0
16, 10, 87, 0
16, 11, 86, 0
16, 12, 89, 0
16, 13, 89, 0
16, 14, 85, 0
16, 15, 84, 2
16, 16, 88, 4
16, 17, 88, 4
16, 18, 90, 2
16, 19, 84, 0
16, 20, 89, 2
16, 21, 82, 0
16, 22, 79, 0
16, 23, 87, 2
16, 24, 81, 2
16, 25, 81, 0
16, 26, 87, 2
16, 27, 82, 0
16, 28, 86, 2
16, 29, 81, 2
16, 30, 84, 2
16, 31, 84, 0
